Weights of ConvLayers:
dense_142/bias:0,"(32,)"
dense_143/kernel:0,"(32, 1)"
dense_143/bias:0,"(1,)"
dense_144/kernel:0,"(8, 32)"
dense_144/bias:0,"(32,)"
dense_145/kernel:0,"(32, 1)"
dense_145/bias:0,"(1,)"
dense_146/kernel:0,"(8, 32)"
dense_146/bias:0,"(32,)"
dense_147/kernel:0,"(32, 1)"
dense_147/bias:0,"(1,)"
dense_148/kernel:0,"(8, 32)"
dense_148/bias:0,"(32,)"
dense_149/kernel:0,"(32, 1)"
dense_149/bias:0,"(1,)"
dense_150/kernel:0,"(8, 32)"
dense_150/bias:0,"(32,)"
dense_151/kernel:0,"(32, 1)"
dense_151/bias:0,"(1,)"
dense_152/kernel:0,"(8, 32)"
dense_152/bias:0,"(32,)"
dense_153/kernel:0,"(32, 1)"
dense_153/bias:0,"(1,)"
dense_154/kernel:0,"(8, 32)"
dense_154/bias:0,"(32,)"
dense_155/kernel:0,"(32, 1)"
dense_155/bias:0,"(1,)"
dense_156/kernel:0,"(8, 32)"
dense_156/bias:0,"(32,)"
dense_157/kernel:0,"(32, 1)"
dense_157/bias:0,"(1,)"
dense_158/kernel:0,"(8, 32)"
dense_158/bias:0,"(32,)"
dense_159/kernel:0,"(32, 1)"
dense_159/bias:0,"(1,)"
dense_160/kernel:0,"(8, 32)"
dense_160/bias:0,"(32,)"
dense_161/kernel:0,"(32, 1)"
dense_161/bias:0,"(1,)"
dense_162/kernel:0,"(8, 32)"
dense_162/bias:0,"(32,)"
dense_163/kernel:0,"(32, 1)"
dense_163/bias:0,"(1,)"
dense_164/kernel:0,"(8, 32)"
dense_164/bias:0,"(32,)"
dense_165/kernel:0,"(32, 1)"
dense_165/bias:0,"(1,)"
dense_166/kernel:0,"(8, 32)"
dense_166/bias:0,"(32,)"
dense_167/kernel:0,"(32, 1)"
dense_167/bias:0,"(1,)"
dense_168/kernel:0,"(8, 32)"
dense_168/bias:0,"(32,)"
dense_169/kernel:0,"(32, 1)"
dense_169/bias:0,"(1,)"
dense_170/kernel:0,"(8, 32)"
dense_170/bias:0,"(32,)"
dense_171/kernel:0,"(32, 1)"
dense_171/bias:0,"(1,)"
dense_172/kernel:0,"(8, 32)"
dense_172/bias:0,"(32,)"
dense_173/kernel:0,"(32, 1)"
dense_173/bias:0,"(1,)"
dense_174/kernel:0,"(8, 32)"
dense_174/bias:0,"(32,)"
dense_175/kernel:0,"(32, 1)"
dense_175/bias:0,"(1,)"
dense_176/kernel:0,"(8, 32)"
dense_176/bias:0,"(32,)"
dense_177/kernel:0,"(32, 1)"
dense_177/bias:0,"(1,)"
dense_178/kernel:0,"(8, 32)"
dense_178/bias:0,"(32,)"
dense_179/kernel:0,"(32, 1)"
dense_179/bias:0,"(1,)"
dense_180/kernel:0,"(8, 32)"
dense_180/bias:0,"(32,)"
dense_181/kernel:0,"(32, 1)"
dense_181/bias:0,"(1,)"
dense_182/kernel:0,"(8, 32)"
dense_182/bias:0,"(32,)"
dense_183/kernel:0,"(32, 1)"
dense_183/bias:0,"(1,)"
dense_184/kernel:0,"(8, 32)"
dense_184/bias:0,"(32,)"
dense_185/kernel:0,"(32, 1)"
dense_185/bias:0,"(1,)"
dense_186/kernel:0,"(8, 32)"
dense_186/bias:0,"(32,)"
dense_187/kernel:0,"(32, 1)"
dense_187/bias:0,"(1,)"
dense_188/kernel:0,"(8, 32)"
dense_188/bias:0,"(32,)"
dense_189/kernel:0,"(32, 1)"
dense_189/bias:0,"(1,)"
dense_190/kernel:0,"(8, 32)"
dense_190/bias:0,"(32,)"
dense_191/kernel:0,"(32, 1)"
dense_191/bias:0,"(1,)"
dense_192/kernel:0,"(8, 32)"
dense_192/bias:0,"(32,)"
dense_193/kernel:0,"(32, 1)"
dense_193/bias:0,"(1,)"
dense_194/kernel:0,"(8, 32)"
dense_194/bias:0,"(32,)"
dense_195/kernel:0,"(32, 1)"
dense_195/bias:0,"(1,)"
dense_196/kernel:0,"(8, 32)"
dense_196/bias:0,"(32,)"
dense_197/kernel:0,"(32, 1)"
dense_197/bias:0,"(1,)"
dense_198/kernel:0,"(8, 32)"
dense_198/bias:0,"(32,)"
dense_199/kernel:0,"(32, 1)"
dense_199/bias:0,"(1,)"
dense_200/kernel:0,"(8, 32)"
dense_200/bias:0,"(32,)"
dense_201/kernel:0,"(32, 1)"
dense_201/bias:0,"(1,)"
dense_202/kernel:0,"(8, 32)"
dense_202/bias:0,"(32,)"
dense_203/kernel:0,"(32, 1)"
dense_203/bias:0,"(1,)"
dense_204/kernel:0,"(8, 32)"
dense_204/bias:0,"(32,)"
dense_205/kernel:0,"(32, 1)"
dense_205/bias:0,"(1,)"
dense_206/kernel:0,"(8, 32)"
dense_206/bias:0,"(32,)"
dense_207/kernel:0,"(32, 1)"
dense_207/bias:0,"(1,)"
dense_208/kernel:0,"(8, 32)"
dense_208/bias:0,"(32,)"
dense_209/kernel:0,"(32, 1)"
dense_209/bias:0,"(1,)"
dense_210/kernel:0,"(8, 32)"
dense_210/bias:0,"(32,)"
dense_211/kernel:0,"(32, 1)"
dense_211/bias:0,"(1,)"
dense_212/kernel:0,"(8, 32)"
dense_212/bias:0,"(32,)"
dense_213/kernel:0,"(32, 1)"
dense_213/bias:0,"(1,)"
dense_214/kernel:0,"(8, 32)"
dense_214/bias:0,"(32,)"
dense_215/kernel:0,"(32, 1)"
dense_215/bias:0,"(1,)"
dense_216/kernel:0,"(8, 32)"
dense_216/bias:0,"(32,)"
dense_217/kernel:0,"(32, 1)"
dense_217/bias:0,"(1,)"
dense_218/kernel:0,"(8, 32)"
